"","Model number","Model name","Term","Estimate","Std. error","Lower 95% CI","Upper 95% CI"
"1","36","SLA variation - 25% absolute range change","b_Intercept",-0.155,0.115,-0.373,0.073
"2","  ","  ","b_LogTraitValueSD",0.555,0.374,-0.182,1.269
"3","  ","  ","sigma",0.378,0.037,0.312,0.458
"4","37","SLA variation - median absolute range change","b_Intercept",-0.144,0.1,-0.341,0.049
"5","  ","  ","b_LogTraitValueSD",0.542,0.326,-0.091,1.192
"6","  ","  ","sigma",0.334,0.033,0.278,0.406
"7","38","SLA variation - 75% absolute range change","b_Intercept",-0.153,0.091,-0.335,0.027
"8","  ","  ","b_LogTraitValueSD",0.587,0.296,0.022,1.186
"9","  ","  ","sigma",0.303,0.03,0.25,0.369
"10","39","Height variation - 25% absolute range change","b_Intercept",-0.067,0.179,-0.418,0.285
"11","  ","  ","b_LogTraitValueSD",0.124,0.295,-0.464,0.703
"12","  ","  ","sigma",0.39,0.041,0.32,0.481
"13","40","Height variation - median absolute range change","b_Intercept",-0.054,0.155,-0.364,0.252
"14","  ","  ","b_LogTraitValueSD",0.109,0.256,-0.397,0.62
"15","  ","  ","sigma",0.344,0.036,0.282,0.421
"16","41","Height variation - 75% absolute range change","b_Intercept",-0.037,0.141,-0.314,0.24
"17","  ","  ","b_LogTraitValueSD",0.085,0.234,-0.377,0.549
"18","  ","  ","sigma",0.314,0.033,0.257,0.385
"19","42","Seed Mass variation - 25% absolute range change","b_Intercept",-0.162,0.088,-0.333,0.011
"20","  ","  ","b_LogTraitValueSD",0.14,0.068,0.005,0.273
"21","  ","  ","sigma",0.342,0.05,0.261,0.457
"22","43","Seed Mass variation - Median RCh Berry","b_Intercept",-0.004,0.157,-0.328,0.312
"23","  ","  ","b_LogTraitValueSD",-0.006,0.157,-0.319,0.308
"24","  ","  ","sigma",0.338,0.125,0.185,0.653
"25","44","Seed Mass variation - Median RCh Wind","b_Intercept",-0.193,0.096,-0.382,-0.004
"26","  ","  ","b_LogTraitValueSD",0.163,0.069,0.028,0.303
"27","  ","  ","sigma",0.303,0.054,0.22,0.425
"28","45","Seed Mass variation - Median RCh NoGapfill","b_Intercept",-0.127,0.088,-0.302,0.046
"29","  ","  ","b_LogTraitValueSD",0.12,0.068,-0.013,0.255
"30","  ","  ","sigma",0.326,0.053,0.241,0.448
"31","46","Seed Mass variation - median absolute range change","b_Intercept",-0.132,0.074,-0.276,0.014
"32","  ","  ","b_LogTraitValueSD",0.121,0.059,0.006,0.24
"33","  ","  ","sigma",0.293,0.042,0.224,0.389
"34","47","Seed Mass variation - 75% absolute range change","b_Intercept",-0.113,0.065,-0.242,0.015
"35","  ","  ","b_LogTraitValueSD",0.111,0.052,0.008,0.213
"36","  ","  ","sigma",0.26,0.038,0.2,0.346
"37","48","Median absolute range change - all traits variation","b_Intercept",-0.19,0.221,-0.625,0.253
"38","  ","  ","b_Hei_var",0.08,0.303,-0.53,0.67
"39","  ","  ","b_Seed_var",0.123,0.066,-0.011,0.255
"40","  ","  ","b_SLA_var",0.009,0.431,-0.837,0.846
"41","  ","  ","sigma",0.299,0.041,0.231,0.394
"42","49","Median absolute range change - all traits variation interaction","b_Intercept",0.354,0.629,-0.9,1.599
"43","  ","  ","b_Hei_var",-0.802,1.041,-2.865,1.282
"44","  ","  ","b_Seed_var",-0.487,0.526,-1.522,0.546
"45","  ","  ","b_SLA_var",-0.7,2.512,-5.594,4.342
"46","  ","  ","b_Hei_var:Seed_var",0.946,0.809,-0.638,2.531
"47","  ","  ","b_Hei_var:SLA_var",1.064,4.175,-7.359,9.316
"48","  ","  ","b_Seed_var:SLA_var",0.26,0.356,-0.457,0.965
"49","  ","  ","sigma",0.308,0.044,0.237,0.41
"50","50","SLA variation - 25% relative range change","b_Intercept",-0.13,0.095,-0.314,0.057
"51","  ","  ","b_LogTraitValueSD",0.529,0.311,-0.084,1.152
"52","  ","  ","sigma",0.324,0.033,0.268,0.396
"53","51","SLA variation - median relative range change","b_Intercept",-0.142,0.089,-0.318,0.033
"54","  ","  ","b_LogTraitValueSD",0.572,0.292,0.003,1.143
"55","  ","  ","sigma",0.306,0.031,0.253,0.372
"56","52","SLA variation - 75% relative range change","b_Intercept",-0.163,0.086,-0.332,0.003
"57","  ","  ","b_LogTraitValueSD",0.653,0.282,0.1,1.203
"58","  ","  ","sigma",0.29,0.029,0.24,0.354
"59","53","Height variation - 25% relative range change","b_Intercept",-0.172,0.151,-0.471,0.125
"60","  ","  ","b_LogTraitValueSD",0.285,0.248,-0.201,0.783
"61","  ","  ","sigma",0.341,0.036,0.28,0.421
"62","54","Height variation - median relative range change","b_Intercept",-0.178,0.141,-0.456,0.103
